ISO3,Country,hdicode,region,hdi_rank_2021,co2_prod_1990,co2_prod_1991,co2_prod_1992,co2_prod_1993,co2_prod_1994,co2_prod_1995,co2_prod_1996,co2_prod_1997,co2_prod_1998,co2_prod_1999,co2_prod_2000,co2_prod_2001,co2_prod_2002,co2_prod_2003,co2_prod_2004,co2_prod_2005,co2_prod_2006,co2_prod_2007,co2_prod_2008,co2_prod_2009,co2_prod_2010,co2_prod_2011,co2_prod_2012,co2_prod_2013,co2_prod_2014,co2_prod_2015,co2_prod_2016,co2_prod_2017,co2_prod_2018,co2_prod_2019,co2_prod_2020,co2_prod_2021
GHA,Ghana,Medium,SSA,133,0.25660522,0.276793478,0.233924577,0.267558383,0.307269664,0.302902476,0.313162563,0.346462963,0.340194309,0.338633767,0.31647106,0.34083234,0.357234214,0.358476762,0.33627263,0.311850178,0.409288953,0.418865294,0.378775517,0.310190667,0.391838147,0.442182423,0.550663648,0.532925781,0.541960904,0.578634112,0.580968048,0.471799753,0.560437492,0.556193047,0.514959318,0.514959318
GIN,Guinea,Low,SSA,182,0.158037669,0.156986928,0.157667363,0.157774947,0.158845018,0.160283371,0.165438916,0.16832255,0.17339244,0.17785794,0.180954843,0.185444336,0.189050316,0.194228486,0.197451349,0.20030559,0.203128148,0.206720583,0.205045965,0.211802556,0.243735979,0.248942658,0.227365091,0.193751534,0.194189175,0.214414025,0.233787673,0.268406455,0.296915821,0.291036599,0.258436989,0.258436989
GMB,Gambia,Low,SSA,174,0.207054677,0.199320421,0.192569162,0.196868207,0.190867949,0.191551293,0.188851215,0.186168396,0.195311459,0.215169446,0.208544718,0.220907098,0.213955953,0.207217615,0.215452177,0.211240098,0.221019262,0.21449549,0.216896498,0.21896489,0.241105824,0.241869289,0.23849706,0.22016976,0.253433476,0.251191355,0.247206319,0.241629097,0.237827914,0.232976361,0.206859196,0.206859196
GNB,Guinea-Bissau,Low,SSA,177,0.176578372,0.176306888,0.17595923,0.175575965,0.171801648,0.168250289,0.16492128,0.177941034,0.149180809,0.164968895,0.122001064,0.122418112,0.122674983,0.151320224,0.153423089,0.158008223,0.156927251,0.163530264,0.157000724,0.15802728,0.156416758,0.15471638,0.152955272,0.148939333,0.153707346,0.16029224,0.17061463,0.166348949,0.166163102,0.163494405,0.145716389,0.145716389
GNQ,Equatorial Guinea,Medium,SSA,145,0.14859204,0.152365815,0.147455876,0.150476507,0.160601798,0.169640557,0.248597953,0.566882899,0.472361287,0.699073517,1.01545578,4.69266986,11.82030548,11.59504503,13.89554906,10.72504953,9.060849259,6.795653333,7.108057246,5.998342944,7.21038448,9.590182124,8.897187815,10.75628035,9.960909829,9.271518645,9.371204266,9.734849866,8.565327833,7.573677014,7.316756772,7.316756772
GRC,Greece,Very High,,33,8.158191401,8.085335421,8.155544654,8.00245685,8.120489821,8.094465192,8.228474869,8.602483877,8.991833363,8.882779133,9.294173742,9.46482617,9.391713068,9.723765751,9.750492034,10.14994399,10.05544098,10.3047312,10.06540668,9.522055845,8.942381161,8.731084149,8.480608471,7.610083329,7.3505979,7.032163043,6.723641651,7.08221336,6.824350999,6.276429316,5.01149663,5.01149663
GRD,Grenada,High,LAC,68,1.103071701,1.139539706,1.206710235,1.230886694,1.438320316,1.497886088,1.523648281,1.659397245,1.723860774,1.895794283,1.852809896,1.880793034,1.979852172,2.078553916,1.9663239,2.065525841,2.199784624,2.264093545,2.397397967,2.389851497,2.448768274,2.367317128,2.523500177,2.811407969,2.153312152,2.373561803,2.425789717,2.51149954,2.761498017,2.966616966,2.620175431,2.620175431
GTM,Guatemala,Medium,LAC,135,0.536733632,0.522087845,0.609689774,0.561220732,0.663684908,0.6800795,0.617197446,0.689029407,0.775982326,0.773306667,0.838126804,0.858142251,0.878190964,0.835808039,0.873670823,0.924654407,0.908903554,0.886467892,0.777728626,0.799230917,0.758536137,0.751719151,0.75685766,0.819681381,0.865728549,0.973540632,1.019895223,1.022283811,1.081085531,1.247569032,1.05706389,1.05706389
GUY,Guyana,High,LAC,108,1.518211134,1.486284276,1.390057734,1.384616201,1.921607177,2.059921896,2.172070006,2.383207779,2.425515205,2.443728874,2.340518136,2.340426674,2.302397055,2.492944307,2.584423195,2.170437291,2.022662502,2.385481611,2.286236119,2.55296783,2.517893456,2.606551884,2.594920036,2.50933444,2.583248186,2.610394146,3.040183155,2.992046149,3.184827845,3.176555957,2.813164292,2.813164292
HKG,"Hong Kong, China (SAR)",Very High,,4,4.739524066,4.907399729,5.612969307,5.866369877,5.180214004,5.139042314,4.673527241,4.840854354,6.065926216,6.523452939,6.097609156,5.671866945,5.891737637,6.424442393,6.163391388,6.459874728,6.162056312,6.370219948,6.217880246,6.004555903,5.750932593,6.158445121,6.065421022,6.250287426,6.376160355,5.899265739,5.989983906,5.824175283,5.797553627,5.61977334,4.16685063,4.16685063
HND,Honduras,Medium,LAC,137,0.487699743,0.478289002,0.512081009,0.523412005,0.569782446,0.659763665,0.649706229,0.652496924,0.761574084,0.721149149,0.749759412,0.82973534,0.846843063,0.931129042,0.987813597,0.915794843,1.005527948,1.050865222,1.057216837,0.974030077,0.948653857,1.030071795,1.052427404,1.050187867,1.039462619,1.075616191,1.002395156,0.939356007,1.04823749,1.106994714,0.975263329,0.975263329
HRV,Croatia,Very High,,40,4.810699497,3.568527163,3.459090926,3.578044499,3.446431719,3.642463144,3.791131062,4.09434205,4.232478544,4.493051287,4.439988031,4.714801813,4.979254056,5.289326812,5.221741826,5.332387099,5.389018932,5.700108151,5.421703078,5.023536924,4.856376779,4.788204491,4.443445554,4.310809667,4.15512869,4.209244121,4.296699949,4.474955754,4.258054737,4.304477346,4.136637154,4.136637154
HTI,Haiti,Low,LAC,163,0.141377058,0.135979028,0.121390921,0.091707348,0.024097907,0.113073751,0.129144255,0.167905118,0.151051784,0.152829822,0.19306917,0.170906137,0.203926138,0.191031476,0.182600413,0.187519956,0.187484249,0.186660219,0.182510278,0.1927221,0.214768403,0.225032474,0.22087752,0.260194651,0.256384273,0.248767197,0.275194489,0.282634908,0.302773182,0.292016116,0.256039713,0.256039713
HUN,Hungary,Very High,,46,7.056426064,6.72159323,5.993540259,6.119200322,5.96533499,5.931926617,6.09968417,5.977942432,5.949996897,6.016313515,5.710587547,5.883013688,5.803389165,6.089539235,5.945149924,5.976420436,5.931151363,5.841253956,5.729469778,5.168032055,5.244974248,5.072041537,4.740044917,4.432635887,4.454680275,4.767351921,4.826424758,5.082548778,5.089673458,5.067767347,4.99728219,4.99728219
IDN,Indonesia,High,EAP,114,0.828409579,0.978488748,1.084358326,1.151484658,1.149226571,1.150346314,1.275967649,1.384108461,1.04980546,1.169378532,1.298859319,1.414657716,1.429984615,1.545287643,1.542390476,1.542222446,1.511897033,1.670818554,1.555585298,1.68450403,1.868765758,2.059278165,2.099111633,1.970071266,1.955775342,2.134330639,2.144264261,2.173337265,2.297168351,2.440988872,2.155208427,2.155208427
IND,India,Medium,SA,132,0.662467546,0.691061836,0.721464905,0.730982832,0.758160122,0.790645026,0.840745238,0.858913152,0.860924213,0.916854893,0.926501849,0.923311648,0.935709427,0.953301068,0.996324301,1.033411591,1.080874404,1.147854401,1.21833217,1.324449273,1.359404681,1.423776027,1.551285071,1.590310828,1.687136923,1.731529473,1.79855959,1.81810563,1.922020137,1.921790091,1.769409088,1.769409088
IRL,Ireland,Very High,,8,9.383275157,9.572562832,9.48892206,9.505569745,9.764170193,9.980607908,10.35144093,10.62812372,11.03858405,11.37340586,11.96068413,12.39036032,11.79140829,11.47797178,11.37612644,11.6284006,11.25224346,11.02142351,10.7264658,9.384711706,9.176757633,8.298067677,8.298688555,8.079824553,7.977143816,8.315620349,8.551467179,8.232927207,8.133994924,7.634477864,6.753775883,6.753775883
IRN,Iran (Islamic Republic of),High,SA,76,3.724637046,3.918423807,3.860725953,3.944943926,4.354144687,4.420088296,4.394722716,4.229668974,4.775593747,5.856423555,5.625273483,5.940777659,5.90957874,6.072324714,6.409548794,6.643976585,7.138231354,7.186498912,7.413194987,7.665768248,7.724410822,7.735467711,7.979074311,7.978482665,8.285493064,8.008771316,8.010678047,8.828831259,8.644936122,8.84490715,8.870210046,8.870210046
IRQ,Iraq,Medium,AS,121,2.816274284,2.525811429,3.200035386,3.330494166,3.638260044,3.676711364,3.333635983,3.175408243,3.260398102,3.143636471,3.05203705,3.492868939,3.462316719,3.540151048,4.318450239,4.188511643,3.569092737,2.191568073,3.234137303,3.553940712,3.700688885,4.402694197,4.791933123,4.936416237,4.799228036,4.656619943,5.308878579,5.637481283,5.498462283,5.67266932,5.241572172,5.241572172
ISL,Iceland,Very High,,3,8.737350172,8.175092383,8.668042791,9.180448952,8.918751744,9.21835825,9.33777531,9.601809988,9.58096013,10.22204628,10.45554228,10.1213473,10.48368725,10.36596377,10.6803754,10.09020981,10.51948485,11.4557495,12.26098258,11.79420493,11.31527684,10.82405387,10.73784285,10.64437157,10.52758115,10.70787269,10.49770323,10.78042902,10.87988881,10.47308358,8.603839493,8.603839493
ISR,Israel,Very High,,22,8.053407632,7.876688002,8.854209624,8.973580029,9.298576831,9.459690437,9.574744817,9.85631503,9.827534143,9.400266887,10.01007408,10.398774,9.61231826,9.94122045,9.173621757,8.656755003,9.302855401,9.171696625,9.682636085,8.881863424,9.295229285,9.161718155,9.820757898,8.16199066,7.684003477,7.893085032,7.549539184,7.141470828,7.22376477,7.323728014,6.510389017,6.510389017
ITA,Italy,Very High,,30,7.704879779,7.691513643,7.687686544,7.545851607,7.442236055,7.867610977,7.781083839,7.903784362,8.141054471,8.232629017,8.299084928,8.273840593,8.359287215,8.61579692,8.655417445,8.617862992,8.487695093,8.3509866,8.127726725,7.186099462,7.351909253,7.120055025,6.737654713,6.146813784,5.786856464,5.964204062,5.902450354,5.815532829,5.756819977,5.611424924,5.02491109,5.02491109
JAM,Jamaica,High,LAC,110,3.110534046,3.177506647,3.13228221,3.220261283,3.26363478,3.620539201,3.786234624,3.896488895,3.715780722,3.782540572,3.885183303,3.954234902,3.78878101,3.937017174,3.880419007,3.801638173,4.203155162,3.883063058,3.87493907,2.83771908,2.731688051,2.92137559,2.784107142,2.970638525,2.677261865,2.765597344,2.808925359,2.669601431,2.739086569,2.728744464,2.508977035,2.508977035
JOR,Jordan,High,AS,102,2.93794817,2.633668537,3.012867828,2.802367219,3.004199885,2.878307233,2.921154973,2.902749508,2.882923154,2.835328857,2.967344221,2.991852547,3.087988993,3.125157572,3.345857278,3.54458789,3.425897182,3.426944917,3.159928242,3.095298886,2.838971188,2.77231201,2.943623221,2.795310191,2.903408385,2.757890591,2.548133895,2.612069292,2.534751023,2.548582446,2.497997184,2.497997184
JPN,Japan,Very High,,19,9.300872799,9.362795443,9.410228157,9.325937832,9.736156569,9.809797429,9.882268177,9.809711884,9.479372436,9.751431895,9.914783686,9.785677241,10.0014803,10.05375658,10.00639332,10.05540525,9.868672474,10.14159122,9.587106589,9.048354322,9.450707659,9.843395237,10.16954902,10.25095236,9.859890921,9.558894626,9.421471031,9.318411038,8.98929399,8.717694119,8.149938667,8.149938667
KAZ,Kazakhstan,Very High,ECA,56,17.1791407,16.59377157,15.16688599,13.57092247,11.58751264,11.26188597,10.48755537,10.09810916,9.885381698,8.320975281,9.988400907,9.629981613,10.75286982,11.85176914,12.36371899,13.10148858,14.21942571,14.49166303,14.41610937,13.9070001,15.32504457,14.53307234,14.67546985,14.90232917,16.12658549,16.42283959,16.19019701,17.03034162,17.31912205,15.94855749,15.51581435,15.51581435
KEN,Kenya,Medium,SSA,152,0.239717636,0.192033971,0.213313724,0.237781169,0.238284889,0.266699836,0.32021951,0.276026452,0.327138524,0.322485558,0.325063163,0.281193418,0.231668063,0.189946134,0.20875385,0.227670277,0.247966528,0.246491933,0.249070284,0.292566644,0.279434002,0.299414469,0.27034422,0.280538342,0.294924706,0.340471315,0.349754607,0.325008539,0.350566274,0.348973056,0.300273588,0.300273588
KGZ,Kyrgyzstan,Medium,ECA,118,4.42934127,3.620690162,2.487723365,1.896207807,1.360336921,0.988065078,1.223527358,1.184683502,1.235591297,0.956260125,0.935332123,0.778063188,0.985839279,1.073415338,1.152588656,1.086546398,1.057512886,1.257408776,1.436161781,1.262786543,1.164452013,1.368903004,1.778575972,1.68518398,1.727323933,1.724902045,1.588026992,1.510259005,1.855590789,1.717293889,1.763865121,1.763865121
KHM,Cambodia,Medium,EAP,146,0.1404252,0.140419638,0.140109679,0.138906538,0.138138588,0.140632563,0.138114492,0.129715186,0.161717056,0.15936623,0.162473153,0.181348328,0.174532968,0.184961874,0.187035993,0.208959996,0.222382009,0.253736085,0.279562547,0.323345256,0.356366996,0.357193378,0.368824936,0.371221666,0.425139856,0.549337059,0.668089872,0.804208325,0.792539375,0.929794738,0.916659614,0.916659614
KIR,Kiribati,Medium,EAP,136,0.303646409,0.298322749,0.343043629,0.387130857,0.382313812,0.377134182,0.371494113,0.365545537,0.359409486,0.353275804,0.390729418,0.341436709,0.461645954,0.494940057,0.526326258,0.634974276,0.699066173,0.607332663,0.667793967,0.544535817,0.569568723,0.524788022,0.482241233,0.475447215,0.535912461,0.49544758,0.488429135,0.577725608,0.569302615,0.578040236,0.56992524,0.56992524
KNA,Saint Kitts and Nevis,High,LAC,75,2.639409821,2.631565913,2.700936187,2.761152303,2.905303121,3.047963113,3.105356092,3.334577869,3.475625275,3.696519466,3.907292281,3.943361959,4.380825861,4.325186902,4.587470857,4.222634825,4.256955153,4.524676629,4.486458441,4.598860059,4.485066101,4.668230631,4.406759276,4.440603207,4.546224446,4.579809777,4.613268765,4.646363724,4.681260846,4.536092233,3.985789207,3.985789207
KOR,Korea (Republic of),Very High,,19,5.835934916,6.355464006,6.842533487,7.449452834,7.939219555,8.471508829,9.204045759,9.636931328,8.117518035,8.741433436,9.297968703,9.563645196,9.933204161,10.06932797,10.15084081,10.25776989,10.32121614,10.66398136,10.85803645,10.9272086,12.02103652,12.54465724,12.56348126,12.62851217,12.46039675,12.49852306,12.53854951,12.83352462,13.12504023,12.65047738,11.65622391,11.65622391
KWT,Kuwait,Very High,AS,50,18.04333799,7.343292164,15.50297448,27.71590093,33.28244864,33.99312909,30.68100024,31.96638398,28.15780951,27.57824717,26.10376002,27.33128511,27.13199878,27.58298614,28.67944987,31.34783838,30.91821448,29.90204947,30.98532422,30.82368413,29.83815549,27.22887193,29.88306743,23.16942379,20.4505301,23.81614724,25.48948349,23.45716907,23.10082005,22.9734474,20.82510746,20.82510746
LAO,Lao People's Democratic Republic,Medium,EAP,140,0.120456351,0.124665581,0.131707505,0.131477784,0.133927525,0.13843028,0.151456366,0.156903084,0.159403973,0.161563343,0.180400849,0.196447711,0.212224248,0.218949045,0.226501746,0.232453984,0.300594895,0.308732726,0.352477913,0.433836975,0.480784233,0.499419699,0.527268862,0.651429746,0.670160169,1.369555762,2.162727587,2.6839071,2.76484892,4.732814419,4.652122998,4.652122998
LBN,Lebanon,High,AS,112,2.807019797,2.777555305,3.162055464,3.189925468,3.264658982,3.473180326,3.531980951,4.127105005,4.409479304,4.383864948,4.024770622,4.110898494,3.884003773,4.222291851,3.766026798,3.543528371,3.107808325,2.883387479,3.655560711,4.354350049,4.03722062,3.89542459,4.032785251,3.748235674,3.831948793,3.93936453,3.946930431,4.102561922,3.870771355,3.888406647,3.804777564,3.804777564
LBR,Liberia,Low,SSA,178,0.225019172,0.181791535,0.193837604,0.214817734,0.212726649,0.207075892,0.201247131,0.194961573,0.19227156,0.144752477,0.147711602,0.15123258,0.144042656,0.152090081,0.17427641,0.203299073,0.202068899,0.181630897,0.148137677,0.126354074,0.195448579,0.212005497,0.232768224,0.206652773,0.273310783,0.269149842,0.295958805,0.261918504,0.225213962,0.221453753,0.199498545,0.199498545
LBY,Libya,High,AS,104,8.230018025,9.378857904,7.960721454,8.140319104,9.012075491,9.232524746,8.838937359,8.891390731,8.814612125,8.53963835,8.868209525,8.903268784,8.711882958,8.802274939,8.8664684,9.827969235,9.046536089,8.3647166,8.845177254,8.660179094,9.786398518,7.877211766,8.216476384,6.631600099,11.22132738,9.065229737,8.23841118,8.266370083,7.989972088,8.042698052,7.381523009,7.381523009
LCA,Saint Lucia,High,LAC,106,1.300825967,1.334761956,1.499082957,1.635183287,1.793042603,1.871042418,1.969442466,1.942311133,2.107096412,2.151166167,2.220903598,2.270023202,2.252747942,2.350900143,2.490730212,2.376619324,2.48136122,2.535328891,2.499955885,2.467875578,2.799264727,2.77599918,2.77945722,2.745207393,2.712623951,2.679566339,2.706916856,2.794246051,2.800059377,2.719514197,2.395617202,2.395617202
LIE,Liechtenstein,Very High,,16,6.911320296,7.076031414,7.002673163,7.173644704,6.609807402,6.612694301,6.570116116,6.860508954,7.094487945,6.913851506,6.534775796,6.397830234,6.493993329,6.710753475,6.65766864,6.595511768,6.607663712,5.700088026,6.187307942,5.747193999,5.300327832,4.869809605,5.059948109,5.211999783,4.330118475,4.259941286,3.971267725,4.107936508,3.753890794,3.903311502,3.698331935,3.698331935
LKA,Sri Lanka,High,SA,73,0.221104132,0.235986767,0.287892627,0.277570384,0.30037895,0.318715565,0.379511662,0.407143128,0.416701702,0.456329122,0.53969088,0.546031484,0.574321854,0.569755458,0.626569564,0.610652716,0.598726481,0.612431864,0.599845356,0.643257627,0.644120492,0.729769453,0.769415466,0.71040349,0.8509989,0.948453912,1.095424227,1.090044733,0.989148543,1.070398884,0.985665463,0.985665463
LSO,Lesotho,Low,SSA,168,0.864506291,0.876823991,0.890149443,0.896755415,0.899574711,0.899295164,0.897848359,0.8992177,0.902470869,0.903437141,0.910220562,0.921532219,0.938650497,0.956673478,0.98816515,1.007707977,1.023749974,1.043724917,1.069432332,1.113846274,1.140169204,1.528654728,1.534694396,1.150586878,1.210309061,1.089061258,1.066538797,1.173731816,1.22518887,1.092144614,1.019209252,1.019209252
LTU,Lithuania,Very High,,35,9.677316367,10.23676543,5.748614601,4.455258754,4.330085173,4.161349491,4.376933399,4.244883251,4.509131987,3.820433126,3.391475165,3.635136205,3.686523572,3.717411583,3.929838862,4.221372211,4.369553799,4.855537622,4.731758104,4.117842997,4.464123367,4.635397968,4.710232368,4.438382497,4.410807078,4.542989481,4.620466044,4.769710137,4.889292834,5.045283294,5.069079734,5.069079734
LUX,Luxembourg,Very High,,17,30.96799034,32.20664058,31.19541945,31.13505204,28.68179299,22.42244866,22.22614064,20.36792754,18.02561098,18.84654804,19.97211668,20.91649667,22.49947039,23.38114378,26.18061657,26.3999371,25.60039518,23.82952739,23.03993572,21.42542097,22.06643578,21.37926121,20.4691659,19.02204364,17.73799133,16.49430692,15.6969879,15.64646652,15.8352986,15.8384614,13.05892539,13.05892539
LVA,Latvia,Very High,,39,7.37918939,6.764176747,5.416803104,4.615975538,4.076854005,3.641169154,3.716064663,3.537999932,3.417293788,3.204902471,2.970223525,3.178158412,3.224052852,3.350567774,3.39239491,3.46830563,3.734720678,3.929413231,3.775689588,3.476385745,4.037169026,3.73073304,3.63428799,3.603205349,3.548304266,3.635277828,3.652142113,3.69786843,4.07548203,4.011133121,3.590715291,3.590715291
MAR,Morocco,Medium,AS,123,0.898842453,0.93776014,0.962094411,1.023846001,1.057903037,1.065052743,1.078186832,1.08009596,1.098566821,1.124060019,1.152996114,1.263657316,1.266562344,1.227889818,1.402135147,1.46642513,1.501375619,1.569542204,1.628861587,1.592895531,1.680875186,1.673718688,1.713304595,1.678932811,1.672154394,1.689019459,1.664209675,1.732052453,1.729022154,1.870394606,1.74845085,1.74845085
MCO,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova (Republic of),High,ECA,80,8.391538871,6.772722597,4.793029965,3.625090537,2.851023852,2.627610902,2.707714592,1.703335517,1.514464952,1.108539886,0.850176246,0.904350584,0.969716842,1.055358455,1.106872692,1.187100789,1.213067665,1.20543246,1.261983359,1.107865786,1.182281996,1.212258198,1.169265088,1.202427434,1.168260378,1.1746874,1.206022908,1.285937526,1.3408132,1.275257138,1.275891722,1.275891722
MDG,Madagascar,Low,SSA,173,0.080150825,0.084586395,0.079736055,0.079405402,0.095465189,0.095559315,0.096427396,0.113124931,0.115512468,0.118939801,0.118426015,0.10673435,0.073491882,0.097290716,0.100528018,0.094160767,0.08831442,0.088712653,0.089015698,0.082959322,0.08849432,0.109506237,0.12297148,0.140009769,0.134019288,0.133328723,0.13068015,0.16120522,0.158657008,0.150163295,0.132880633,0.132880633
MDV,Maldives,High,SA,90,0.771695391,0.669812101,0.97699617,0.815564395,0.795935443,0.980369011,1.116817075,1.249838919,1.119181986,1.540469497,1.613003672,1.612470573,2.017669094,1.670493553,2.142386712,1.880115642,2.315969794,2.328467132,2.453676205,2.498655906,2.554643539,2.590362554,2.794805116,2.627330104,3.023803777,2.883395799,3.020533656,3.048335825,3.374856505,3.378830141,3.32350373,3.32350373
MEX,Mexico,High,LAC,86,3.776871228,3.860637043,3.82175794,3.814561598,3.899093131,3.617550909,3.71204587,3.896426337,4.043012432,4.005920634,4.004722151,4.094770319,4.051420371,4.246732328,4.198985653,4.377079491,4.430685404,4.394839185,4.448662134,4.231608143,4.064952718,4.184820611,4.231960571,4.124727847,3.99757624,3.955206712,3.914577835,3.685358728,3.608091424,3.413761271,2.76863785,2.76863785
MHL,Marshall Islands,Medium,EAP,131,,,1.562473348,1.691156108,1.678223638,1.742790891,1.74016979,1.743032706,1.819048376,1.743966047,1.949204973,1.99506048,2.098911591,1.987803053,2.152323959,2.055448985,2.168128104,2.222618687,2.282906683,2.344888889,2.405173331,2.462896464,2.390288626,2.44529137,2.499169275,2.487856683,2.475101758,2.52437218,2.509030524,2.569610995,2.555837135,2.555837135
MKD,North Macedonia,High,ECA,78,7.105601164,5.034360072,5.523671982,5.102548956,5.315630041,5.363211533,5.87325196,5.290063303,6.247934328,5.762810994,5.895315505,5.838092226,5.303944306,5.467204564,5.3988045,5.425931418,5.251435803,4.54313057,4.496464735,4.152700843,4.105052249,4.437470537,4.211103815,3.743279962,3.590331003,3.377966343,3.358031242,3.604185599,3.372081133,3.827625118,3.430253041,3.430253041
MLI,Mali,Low,SSA,186,0.049969745,0.049318357,0.052260175,0.055331821,0.058746336,0.062092796,0.065674748,0.071987667,0.090180445,0.091230465,0.097401485,0.103046595,0.10408124,0.103966595,0.113751478,0.113858415,0.116273275,0.130974964,0.138632467,0.129411185,0.13877673,0.146893988,0.152482907,0.166773517,0.183002293,0.187547545,0.185311322,0.190920371,0.191825566,0.187617977,0.167400521,0.167400521
MLT,Malta,Very High,,23,6.653039239,6.179144224,6.292352898,7.797451284,7.143010033,6.527795466,6.780748607,6.739107776,6.571561362,6.72662156,6.466486301,6.724733049,6.790513596,7.432289159,7.066236033,6.55944723,6.560955681,6.714200249,6.70857235,6.153778866,6.226871018,6.168814069,6.544431247,5.735760329,5.691346058,4.015601106,3.222677524,3.560818664,3.502121808,3.790204645,3.612105729,3.612105729
MMR,Myanmar,Medium,EAP,149,0.102471988,0.098767738,0.114191219,0.123641869,0.142817207,0.157335958,0.162030204,0.165342161,0.176186912,0.193369245,0.214982112,0.183832249,0.191899023,0.203105358,0.254714948,0.235518241,0.259205433,0.257837962,0.194720002,0.202103997,0.258547204,0.295511231,0.231317705,0.249505964,0.309287398,0.419673411,0.479538196,0.463966456,0.608471835,0.666981587,0.667627891,0.667627891
MNE,Montenegro,Very High,ECA,49,3.114298815,2.200589856,2.403377983,2.090318703,2.026651099,2.139364106,2.506023008,2.700984603,2.851677405,1.971687999,2.478653235,2.719143599,2.879497074,3.076477131,3.318485523,2.840404873,3.338620399,3.317703836,4.192847486,2.699782804,3.879540267,3.849856862,3.535727124,3.433890268,3.362031134,3.570744996,3.212682379,3.351217328,3.822659439,4.211870628,3.677798193,3.677798193
MNG,Mongolia,High,EAP,96,4.52808765,5.465037691,4.90034522,4.092725918,3.476067966,3.437480962,3.463442472,3.291641942,3.263411081,3.17108018,3.122859677,3.252578538,3.381737024,3.243690562,3.43323622,3.39361089,3.675783241,4.656722517,4.565792443,4.889677447,5.081076629,7.734190598,12.40164435,15.11518358,10.06289565,7.751733485,8.286545712,11.00422444,14.99494041,27.49975428,26.97802818,26.97802818
MOZ,Mozambique,Low,SSA,185,0.076131344,0.071187554,0.075199183,0.082917297,0.072223477,0.071625623,0.068406627,0.071365917,0.066129617,0.067750363,0.074633325,0.085282052,0.081916825,0.095985226,0.0936187,0.086352419,0.090872391,0.100995159,0.097856064,0.106531159,0.111955962,0.128438275,0.119894634,0.13988241,0.300507594,0.233118835,0.293026165,0.290512575,0.233635037,0.239991812,0.210232236,0.210232236
MRT,Mauritania,Medium,SSA,158,0.419648378,0.415903544,0.422379816,0.42164044,0.423982805,0.438661324,0.447806293,0.442643153,0.428608742,0.427664903,0.423500857,0.433873594,0.449731993,0.451394187,0.471209123,0.474936462,0.456826138,0.511410244,0.538007268,0.577649202,0.560987581,0.586470252,0.628696998,0.535560763,0.635682043,0.722610602,0.608978,0.833308037,0.832941015,0.817222368,0.726332991,0.726332991
MUS,Mauritius,Very High,SSA,63,1.384548069,1.423197768,1.576610684,1.614248056,1.45691239,1.61986687,1.706907845,1.730206041,1.861436235,2.063332466,2.269258192,2.396816529,2.399376941,2.53053365,2.540806481,2.695492564,2.953694724,2.987302748,3.039389572,2.98072896,3.135689989,3.130735045,3.162694816,3.239470724,3.345355926,3.342633645,3.443712283,3.587191449,3.56222651,3.448145499,3.129029823,3.129029823
MWI,Malawi,Low,SSA,169,0.078710192,0.081862598,0.081145178,0.09062101,0.092684048,0.092100953,0.09033314,0.092273617,0.087463082,0.084952335,0.077631069,0.069162001,0.072235297,0.075279698,0.074155586,0.071665091,0.070657567,0.072660328,0.079211008,0.077363251,0.070503945,0.076205804,0.073532015,0.07343134,0.062653657,0.066872484,0.075930263,0.077203445,0.08654474,0.085271436,0.072922295,0.072922295
MYS,Malaysia,Very High,EAP,62,3.009979465,3.552123314,3.839515908,4.450554476,4.536653735,5.561103354,5.397468304,5.661817558,5.165692396,4.778693612,5.441131397,5.651336096,5.581461403,6.337197742,6.792281518,7.058329598,6.823355702,6.828326105,7.416109396,7.236798649,7.655095436,7.57369064,7.403729211,8.228580325,8.197537564,7.658953819,8.16566483,8.055430047,8.634519001,8.721791705,8.422647483,8.422647483
NAM,Namibia,Medium,SSA,139,,0.714717269,0.758425744,0.892996661,0.987484782,0.994861367,1.03530286,1.042206507,1.049468163,0.943102595,0.894252721,1.102994398,0.965691487,1.002226046,1.033261783,1.192785505,1.18580624,1.175969866,1.631697069,1.468397593,1.456009182,1.289981258,1.528670488,1.149626507,1.617824751,1.663697501,1.718034099,1.754824811,1.665195578,1.6363804,1.525913011,1.525913011
NER,Niger,Low,SSA,189,0.074973298,0.068622051,0.061690696,0.067925565,0.063234105,0.059210005,0.065332885,0.063474871,0.066132067,0.062450606,0.061237833,0.055550993,0.05707309,0.059652194,0.06165284,0.052011576,0.048608697,0.04875523,0.052585066,0.060688123,0.07107618,0.07726077,0.098588328,0.102187164,0.10782644,0.10174154,0.09929867,0.092846243,0.083015407,0.079504211,0.069832068,0.069832068
NGA,Nigeria,Low,SSA,163,0.408111544,0.429304972,0.461906052,0.436357073,0.331783383,0.309561977,0.332420718,0.361445837,0.324502048,0.331937608,0.644591252,0.691569518,0.733331863,0.758207139,0.729271299,0.761587065,0.686193777,0.64418351,0.630681026,0.485243042,0.708592648,0.795851717,0.695638575,0.710841091,0.72459878,0.626430378,0.622827758,0.597482379,0.65311248,0.647401324,0.608631271,0.608631271
